name,type,description,color,hp,attacks_name_1,attacks_name_2,attacks_cost_1,attacks_cost_2,attacks_damage_1,attacks_damage_2,attacks_description_1,attacks_description_2,abilities_name_1,abilities_description_1,retreat,weakness,rarity,stage,evolves_from,illustrator,setId,card_number,url
Gastly,Pokemon,,Psychic,60,Suffocating Gas,,['psychic'],,20.0,,,,,,1,Darkness,Common,Basic,,Masako Yamashita,A1,120,https://ptcgpocket.gg/cards/a1-120-gastly
Haunter,Pokemon,,Psychic,80,Will-O-Wisp,,['psychic'],,30.0,,,,,,1,Darkness,Uncommon,Stage 1,Gastly,Nisata Niso,A1,121,https://ptcgpocket.gg/cards/a1-121-haunter
Gengar,Pokemon,,Psychic,130,Bother,,['psychic'],,50.0,,Your opponent can't use any Supporter cards from their hand during their next turn.,,,,2,Darkness,Rare,Stage 2,Haunter,Naoyo Kimura,A1,122,https://ptcgpocket.gg/cards/a1-122-gengar
Gengar ex,Pokemon,,Psychic,170,Spooky Shot,,"['psychic', 'psychic', 'psychic']",,100.0,,,,Shadowy Spellbind,"As long as this Pokémon is in the Active Spot, your opponent can't use any Supporter cards from their hand.",2,Darkness,Double Rare,Stage 2,Haunter,PLANETA CG Works,A1,123,https://ptcgpocket.gg/cards/a1-123-gengarex
Drowzee,Pokemon,,Psychic,70,Mumble,,"['psychic', 'colorless']",,30.0,,,,,,2,Darkness,Common,Basic,,Yukiko Baba,A1,124,https://ptcgpocket.gg/cards/a1-124-drowzee
Hypno,Pokemon,,Psychic,100,Psypunch,,"['psychic', 'psychic', 'colorless']",,50.0,,,,Sleep Pendulum,"Once during your turn, you may flip a coin. If heads, your opponent's Active Pokémon is now Asleep.",2,Darkness,Rare,Stage 1,Drowzee,Shigenori Negishi,A1,125,https://ptcgpocket.gg/cards/a1-125-hypno
Jynx,Pokemon,,Psychic,80,,,"['psychic', 'colorless']",,,,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,,,,1,Darkness,Common,Basic,,Oswaldo KATO,A1,127,https://ptcgpocket.gg/cards/a1-127-jynx
Mewtwo,Pokemon,,Psychic,120,Power Blast,,"['psychic', 'psychic', 'colorless', 'colorless']",,120.0,,Discard 2 psychic Energy from this Pokémon.,,,,2,Darkness,Rare,Basic,,kawayoo,A1,128,https://ptcgpocket.gg/cards/a1-128-mewtwo
Mewtwo ex,Pokemon,,Psychic,150,Psychic Sphere,Psydrive,"['psychic', 'colorless']","['psychic', 'psychic', 'colorless', 'colorless']",50.0,150.0,,Discard 2 psychic Energy from this Pokémon.,,,2,Darkness,Double Rare,Basic,,PLANETA Mochizuki,A1,129,https://ptcgpocket.gg/cards/a1-129-mewtwoex
Ralts,Pokemon,,Psychic,60,Ram,,['colorless'],,10.0,,,,,,1,Darkness,Common,Basic,,Yuka Morii,A1,130,https://ptcgpocket.gg/cards/a1-130-ralts
Kirlia,Pokemon,,Psychic,80,Smack,,"['psychic', 'colorless']",,30.0,,,,,,1,Darkness,Uncommon,Stage 1,Ralts,sowsow,A1,131,https://ptcgpocket.gg/cards/a1-131-kirlia
Gardevoir,Pokemon,,Psychic,110,Psyshot,,"['psychic', 'psychic', 'colorless']",,60.0,,,,Psy Shadow,"Once during your turn, you may take 1 psychic Energy from your Energy Zone and attach it to the psychic Pokémon in the Active Spot.",2,Darkness,Rare,Stage 2,Kirlia,Yuu Nishida,A1,132,https://ptcgpocket.gg/cards/a1-132-gardevoir
Woobat,Pokemon,,Psychic,60,Gnaw,,['colorless'],,10.0,,,,,,1,Darkness,Common,Basic,,MAHOU,A1,133,https://ptcgpocket.gg/cards/a1-133-woobat
Swoobat,Pokemon,,Psychic,90,Heart Stamp,,"['psychic', 'colorless']",,60.0,,,,,,1,Darkness,Common,Stage 1,Woobat,Masakazu Fukuda,A1,134,https://ptcgpocket.gg/cards/a1-134-swoobat
Golett,Pokemon,,Psychic,90,Mega Punch,,"['psychic', 'colorless', 'colorless']",,50.0,,,,,,3,Darkness,Common,Basic,,Kyoko Umemoto,A1,135,https://ptcgpocket.gg/cards/a1-135-golett
Golurk,Pokemon,,Psychic,140,,,"['psychic', 'psychic', 'colorless', 'colorless']",,,,Flip 2 coins. This attack does 100 damage for each heads.,,,,4,Darkness,Uncommon,Stage 1,Golett,match,A1,136,https://ptcgpocket.gg/cards/a1-136-golurk
Sandshrew,Pokemon,,Fighting,70,Scratch,,['fighting'],,10.0,,,,,,1,Grass,Common,Basic,,Miki Tanaka,A1,137,https://ptcgpocket.gg/cards/a1-137-sandshrew
Sandslash,Pokemon,,Fighting,100,Slash,,"['fighting', 'fighting']",,70.0,,,,,,2,Grass,Uncommon,Stage 1,Sandshrew,Miki Tanaka,A1,138,https://ptcgpocket.gg/cards/a1-138-sandslash
Diglett,Pokemon,,Fighting,50,Mud-Slap,,['fighting'],,20.0,,,,,,1,Grass,Common,Basic,,Masako Yamashita,A1,139,https://ptcgpocket.gg/cards/a1-139-diglett
Dugtrio,Pokemon,,Fighting,70,Dig,,['fighting'],,40.0,,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.",,,,1,Grass,Uncommon,Stage 1,Diglett,Akira Komayama,A1,140,https://ptcgpocket.gg/cards/a1-140-dugtrio
Mankey,Pokemon,,Fighting,60,Low Kick,,['fighting'],,20.0,,,,,,1,Psychic,Common,Basic,,Kanako Eo,A1,141,https://ptcgpocket.gg/cards/a1-141-mankey
Primeape,Pokemon,,Fighting,90,,,"['fighting', 'fighting']",,,,"If this Pokémon has damage on it, this attack does 60 more damage.",,,,1,Psychic,Uncommon,Stage 1,Mankey,Kagemaru Himeno,A1,142,https://ptcgpocket.gg/cards/a1-142-primeape
Machop,Pokemon,,Fighting,70,Knuckle Punch,,['fighting'],,20.0,,,,,,2,Psychic,Common,Basic,,Kyoko Umemoto,A1,143,https://ptcgpocket.gg/cards/a1-143-machop
Machoke,Pokemon,,Fighting,100,Strength,,"['fighting', 'fighting']",,50.0,,,,,,2,Psychic,Uncommon,Stage 1,Machop,match,A1,144,https://ptcgpocket.gg/cards/a1-144-machoke
Machamp,Pokemon,,Fighting,150,Seismic Toss,,"['fighting', 'fighting', 'fighting']",,100.0,,,,,,3,Psychic,Rare,Stage 2,Machoke,Hitoshi Ariga,A1,145,https://ptcgpocket.gg/cards/a1-145-machamp
Machamp ex,Pokemon,,Fighting,180,Mega Punch,,"['fighting', 'fighting', 'fighting']",,120.0,,,,,,3,Psychic,Double Rare,Stage 2,Machoke,PLANETA CG Works,A1,146,https://ptcgpocket.gg/cards/a1-146-machampex
Geodude,Pokemon,,Fighting,70,Tackle,,['fighting'],,20.0,,,,,,2,Grass,Common,Basic,,Kouki Saitou,A1,147,https://ptcgpocket.gg/cards/a1-147-geodude
Graveler,Pokemon,,Fighting,100,Rollout,,"['fighting', 'colorless', 'colorless']",,70.0,,,,,,3,Grass,Uncommon,Stage 1,Geodude,Naoyo Kimura,A1,148,https://ptcgpocket.gg/cards/a1-148-graveler
Golem,Pokemon,,Fighting,160,Double-Edge,,"['fighting', 'colorless', 'colorless', 'colorless']",,150.0,,This Pokémon also does 50 damage to itself.,,,,4,Grass,Rare,Stage 2,Graveler,Sumiyoshi Kizuki,A1,149,https://ptcgpocket.gg/cards/a1-149-golem
Onix,Pokemon,,Fighting,110,Land Crush,,"['fighting', 'fighting', 'fighting']",,70.0,,,,,,4,Grass,Uncommon,Basic,,otumami,A1,150,https://ptcgpocket.gg/cards/a1-150-onix
Cubone,Pokemon,,Fighting,60,,,['colorless'],,,,"During your opponent's next turn, attacks used by the Defending Pokémon do -20 damage.",,,,1,Grass,Common,Basic,,sowsow,A1,151,https://ptcgpocket.gg/cards/a1-151-cubone
Marowak,Pokemon,,Fighting,100,Bone Beatdown,,['fighting'],,40.0,,,,,,1,Grass,Uncommon,Stage 1,Cubone,Shin Nagasawa,A1,152,https://ptcgpocket.gg/cards/a1-152-marowak
Marowak ex,Pokemon,,Fighting,140,,,"['fighting', 'fighting']",,,,Flip 2 coins. This attack does 80 damage for each heads.,,,,1,Grass,Double Rare,Stage 1,Cubone,PLANETA Mochizuki,A1,153,https://ptcgpocket.gg/cards/a1-153-marowakex
Hitmonlee,Pokemon,,Fighting,80,,,['fighting'],,,,This attack does 30 damage to 1 of your opponent's Benched Pokémon.,,,,1,Psychic,Common,Basic,,Yukiko Baba,A1,154,https://ptcgpocket.gg/cards/a1-154-hitmonlee
Hitmonchan,Pokemon,,Fighting,80,Jab,,['fighting'],,30.0,,,,,,1,Psychic,Common,Basic,,Ken Sugimori,A1,155,https://ptcgpocket.gg/cards/a1-155-hitmonchan
Rhyhorn,Pokemon,,Fighting,80,Tackle,,"['fighting', 'fighting', 'colorless']",,60.0,,,,,,3,Grass,Common,Basic,,Midori Harada,A1,156,https://ptcgpocket.gg/cards/a1-156-rhyhorn
Rhydon,Pokemon,,Fighting,120,Horn Drill,,"['fighting', 'fighting', 'fighting', 'colorless']",,100.0,,,,,,4,Grass,Uncommon,Stage 1,Rhyhorn,Masakazu Fukuda,A1,157,https://ptcgpocket.gg/cards/a1-157-rhydon
Kabuto,Pokemon,,Fighting,90,Shell Attack,,['fighting'],,40.0,,,,,,1,Grass,Uncommon,Stage 1,Dome Fossil,sui,A1,158,https://ptcgpocket.gg/cards/a1-158-kabuto
Kabutops,Pokemon,,Fighting,140,Leech Life,,['fighting'],,50.0,,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,,,,1,Grass,Rare,Stage 2,Kabuto,Shin Nagasawa,A1,159,https://ptcgpocket.gg/cards/a1-159-kabutops
Mienfoo,Pokemon,,Fighting,60,Pound,,['colorless'],,20.0,,,,,,1,Psychic,Common,Basic,,match,A1,160,https://ptcgpocket.gg/cards/a1-160-mienfoo
Mienshao,Pokemon,,Fighting,80,Spiral Kick,,['colorless'],,40.0,,,,,,1,Psychic,Uncommon,Stage 1,Mienfoo,Atsuko Nishida,A1,161,https://ptcgpocket.gg/cards/a1-161-mienshao
Clobbopus,Pokemon,,Fighting,80,Knuckle Punch,,"['fighting', 'colorless']",,30.0,,,,,,2,Psychic,Common,Basic,,Yuu Nishida,A1,162,https://ptcgpocket.gg/cards/a1-162-clobbopus
Ekans,Pokemon,,Darkness,60,Bite,,['darkness'],,20.0,,,,,,1,Fighting,Common,Basic,,MAHOU,A1,164,https://ptcgpocket.gg/cards/a1-164-ekans
Arbok,Pokemon,,Darkness,100,Corner,,"['darkness', 'colorless']",,60.0,,"During your opponent's next turn, the Defending Pokémon can't retreat.",,,,2,Fighting,Uncommon,Stage 1,Ekans,Naoki Saito,A1,165,https://ptcgpocket.gg/cards/a1-165-arbok
Nidorina,Pokemon,,Darkness,80,Bite,,['darkness'],,30.0,,,,,,1,Fighting,Uncommon,Stage 1,Nidoran♀,Kagemaru Himeno,A1,167,https://ptcgpocket.gg/cards/a1-167-nidorina
Nidoqueen,Pokemon,,Darkness,140,,,"['darkness', 'darkness', 'colorless']",,,,This attack does 50 more damage for each of your Benched Nidoking.,,,,2,Fighting,Rare,Stage 2,Nidorina,nagimiso,A1,168,https://ptcgpocket.gg/cards/a1-168-nidoqueen
Nidorino,Pokemon,,Darkness,90,Horn Attack,,"['darkness', 'colorless']",,40.0,,,,,,2,Fighting,Uncommon,Stage 1,Nidoran♂,Kouki Saitou,A1,170,https://ptcgpocket.gg/cards/a1-170-nidorino
Nidoking,Pokemon,,Darkness,150,Poison Horn,,"['darkness', 'darkness', 'colorless']",,90.0,,Your opponent's Active Pokémon is now Poisoned.,,,,3,Fighting,Rare,Stage 2,Nidorino,kawayoo,A1,171,https://ptcgpocket.gg/cards/a1-171-nidoking
Zubat,Pokemon,,Darkness,50,Glide,,['colorless'],,10.0,,,,,,1,Fighting,Common,Basic,,match,A1,172,https://ptcgpocket.gg/cards/a1-172-zubat
Golbat,Pokemon,,Darkness,70,Wing Attack,,['colorless'],,40.0,,,,,,1,Fighting,Uncommon,Stage 1,Zubat,Masakazu Fukuda,A1,173,https://ptcgpocket.gg/cards/a1-173-golbat
Grimer,Pokemon,,Darkness,70,Poison Gas,,['darkness'],,10.0,,Your opponent's Active Pokémon is now Poisoned.,,,,3,Fighting,Common,Basic,,Pani Kobayashi,A1,174,https://ptcgpocket.gg/cards/a1-174-grimer
Muk,Pokemon,,Darkness,130,,,"['darkness', 'darkness', 'colorless']",,,,"If your opponent's Active Pokémon is Poisoned, this attack does 50 more damage.",,,,3,Fighting,Rare,Stage 1,Grimer,Hajime Kusajima,A1,175,https://ptcgpocket.gg/cards/a1-175-muk
Koffing,Pokemon,,Darkness,70,Suffocating Gas,,['darkness'],,20.0,,,,,,1,Fighting,Common,Basic,,Saya Tsuruta,A1,176,https://ptcgpocket.gg/cards/a1-176-koffing
Weezing,Pokemon,,Darkness,110,Tackle,,['darkness'],,30.0,,,,Gas Leak,"Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent's Active Pokémon Poisoned.",3,Fighting,Rare,Stage 1,Koffing,OOYAMA,A1,177,https://ptcgpocket.gg/cards/a1-177-weezing
Mawile,Pokemon,,Metal,70,Crunch,,['metal'],,20.0,,"Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.",,,,1,Fire,Common,Basic,,Kagemaru Himeno,A1,178,https://ptcgpocket.gg/cards/a1-178-mawile
Pawniard,Pokemon,,Metal,50,Pierce,,['metal'],,30.0,,,,,,1,Fire,Common,Basic,,Kouki Saitou,A1,179,https://ptcgpocket.gg/cards/a1-179-pawniard
Bisharp,Pokemon,,Metal,90,Metal Claw,,"['metal', 'metal']",,70.0,,,,,,1,Fire,Uncommon,Stage 1,Pawniard,Anesaki Dynamic,A1,180,https://ptcgpocket.gg/cards/a1-180-bisharp
Meltan,Pokemon,,Metal,70,,,['metal'],,,,Take 1 metal Energy from your Energy Zone and attach it to this Pokémon.,,,,1,Fire,Common,Basic,,Shin Nagasawa,A1,181,https://ptcgpocket.gg/cards/a1-181-meltan
Melmetal,Pokemon,,Metal,130,Heavy Impact,,"['metal', 'metal', 'metal', 'colorless']",,120.0,,,,Hard Coat,This Pokémon takes -20 damage from attacks.,3,Fire,Rare,Stage 1,Meltan,Kouki Saitou,A1,182,https://ptcgpocket.gg/cards/a1-182-melmetal
Dratini,Pokemon,,Dragon,70,Ram,,"['water', 'lightning']",,40.0,,,,,,1,,Common,Basic,,Ayaka Yoshida,A1,183,https://ptcgpocket.gg/cards/a1-183-dratini
Dragonair,Pokemon,,Dragon,100,Tail Smack,,"['water', 'lightning', 'colorless']",,80.0,,,,,,1,,Uncommon,Stage 1,Dratini,kirisAki,A1,184,https://ptcgpocket.gg/cards/a1-184-dragonair
Dragonite,Pokemon,,Dragon,160,,,"['water', 'lightning', 'colorless', 'colorless']",,,,"1 of your opponent's Pokémon is chosen at random 4 times. For each time a Pokémon was chosen, do 50 damage to it.",,,,3,,Rare,Stage 2,Dragonair,Hiroyuki Yamamoto,A1,185,https://ptcgpocket.gg/cards/a1-185-dragonite
Pidgey,Pokemon,,Colorless,60,Gust,,['colorless'],,10.0,,,,,,1,Lightning,Common,Basic,,Scav,A1,186,https://ptcgpocket.gg/cards/a1-186-pidgey
Pidgeotto,Pokemon,,Colorless,80,Gust,,['colorless'],,30.0,,,,,,1,Lightning,Common,Stage 1,Pidgey,Scav,A1,187,https://ptcgpocket.gg/cards/a1-187-pidgeotto
Rattata,Pokemon,,Colorless,40,Gnaw,,['colorless'],,20.0,,,,,,1,Fighting,Common,Basic,,Atsushi Furusawa,A1,189,https://ptcgpocket.gg/cards/a1-189-rattata
Raticate,Pokemon,,Colorless,80,Bite,,['colorless'],,40.0,,,,,,1,Fighting,Common,Stage 1,Rattata,Shigenori Negishi,A1,190,https://ptcgpocket.gg/cards/a1-190-raticate
Spearow,Pokemon,,Colorless,60,Peck,,['colorless'],,20.0,,,,,,1,Lightning,Common,Basic,,Shiburingaru,A1,191,https://ptcgpocket.gg/cards/a1-191-spearow
Fearow,Pokemon,,Colorless,100,Drill Run,,"['colorless', 'colorless']",,50.0,,"Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.",,,,1,Lightning,Common,Stage 1,Spearow,Satoshi Shirai,A1,192,https://ptcgpocket.gg/cards/a1-192-fearow
Jigglypuff,Pokemon,,Colorless,60,Pound,,"['colorless', 'colorless']",,30.0,,,,,,1,Fighting,Common,Basic,,Mizue,A1,193,https://ptcgpocket.gg/cards/a1-193-jigglypuff
Wigglytuff,Pokemon,,Colorless,100,Hyper Voice,,"['colorless', 'colorless']",,60.0,,,,,,2,Fighting,Common,Stage 1,Jigglypuff,Atsuko Nishida,A1,194,https://ptcgpocket.gg/cards/a1-194-wigglytuff
Wigglytuff ex,Pokemon,,Colorless,140,Sleepy Song,,"['colorless', 'colorless', 'colorless']",,80.0,,Your opponent's Active Pokémon is now Asleep.,,,,2,Fighting,Double Rare,Stage 1,Jigglypuff,PLANETA Igarashi,A1,195,https://ptcgpocket.gg/cards/a1-195-wigglytuffex
Meowth,Pokemon,,Colorless,60,Pay Day,,['colorless'],,10.0,,Draw 1 card.,,,,1,Fighting,Common,Basic,,Mitsuhiro Arita,A1,196,https://ptcgpocket.gg/cards/a1-196-meowth
Persian,Pokemon,,Colorless,90,Shadow Claw,,"['colorless', 'colorless']",,40.0,,"Flip a coin. If heads, discard a random card from your opponent's hand.",,,,1,Fighting,Uncommon,Stage 1,Meowth,nagimiso,A1,197,https://ptcgpocket.gg/cards/a1-197-persian
Farfetchd,Pokemon,,Colorless,60,Leek Slap,,['colorless'],,40.0,,,,,,1,Lightning,Common,Basic,,Miki Tanaka,A1,198,https://ptcgpocket.gg/cards/a1-198-farfetchd
Doduo,Pokemon,,Colorless,60,Peck,,['colorless'],,20.0,,,,,,1,Lightning,Common,Basic,,Yuya Oka,A1,199,https://ptcgpocket.gg/cards/a1-199-doduo
Dodrio,Pokemon,,Colorless,80,Drill Peck,,['colorless'],,40.0,,,,,,0,Lightning,Uncommon,Stage 1,Doduo,Miki Tanaka,A1,200,https://ptcgpocket.gg/cards/a1-200-dodrio
Lickitung,Pokemon,,Colorless,90,,,"['colorless', 'colorless', 'colorless']",,,,Flip a coin until you get tails. This attack does 60 damage for each heads.,,,,3,Fighting,Uncommon,Basic,,Kagemaru Himeno,A1,201,https://ptcgpocket.gg/cards/a1-201-lickitung
Chansey,Pokemon,,Colorless,120,Gentle Slap,,"['colorless', 'colorless', 'colorless']",,60.0,,,,,,3,Fighting,Uncommon,Basic,,MAHOU,A1,202,https://ptcgpocket.gg/cards/a1-202-chansey
Kangaskhan,Pokemon,,Colorless,100,,,['colorless'],,,,Flip 2 coins. This attack does 30 damage for each heads.,,,,3,Fighting,Rare,Basic,,Ken Sugimori,A1,203,https://ptcgpocket.gg/cards/a1-203-kangaskhan
Tauros,Pokemon,,Colorless,100,Horn Attack,,"['colorless', 'colorless']",,50.0,,,,,,2,Fighting,Uncommon,Basic,,kodama,A1,204,https://ptcgpocket.gg/cards/a1-204-tauros
Ditto,Pokemon,,Colorless,70,,,['colorless'],,,,"Choose 1 of your opponent's Pokémon's attacks and use it as this attack. If this Pokémon doesn't have the necessary Energy to use that attack, this attack does nothing.",,,,1,Fighting,Rare,Basic,,Miki Tanaka,A1,205,https://ptcgpocket.gg/cards/a1-205-ditto
Eevee,Pokemon,,Colorless,60,Tackle,,['colorless'],,20.0,,,,,,1,Fighting,Common,Basic,,Atsuko Nishida,A1,206,https://ptcgpocket.gg/cards/a1-206-eevee
Eevee,Pokemon,,Colorless,60,Tackle,,['colorless'],,20.0,,,,,,1,Fighting,Common,Basic,,Hasuno,A1,207,https://ptcgpocket.gg/cards/a1-207-eevee
Eevee,Pokemon,,Colorless,60,Tackle,,['colorless'],,20.0,,,,,,1,Fighting,Common,Basic,,Sekio,A1,208,https://ptcgpocket.gg/cards/a1-208-eevee
Porygon,Pokemon,,Colorless,50,Sharpen,,['colorless'],,20.0,,,,Data Scan,"Once during your turn, you may look at the top card of your deck.",1,Fighting,Uncommon,Basic,,Ayaka Yoshida,A1,209,https://ptcgpocket.gg/cards/a1-209-porygon
Aerodactyl,Pokemon,,Colorless,100,,,"['colorless', 'colorless']",,,,"Flip a coin. If heads, your opponent shuffles their Active Pokémon back into their deck.",,,,1,Lightning,Rare,Stage 1,Old Amber,Naoyo Kimura,A1,210,https://ptcgpocket.gg/cards/a1-210-aerodactyl
Snorlax,Pokemon,,Colorless,150,Rollout,,"['colorless', 'colorless', 'colorless', 'colorless']",,70.0,,,,,,4,Fighting,Rare,Basic,,Naoki Saito,A1,211,https://ptcgpocket.gg/cards/a1-211-snorlax
Minccino,Pokemon,,Colorless,60,Tail Smack,,['colorless'],,20.0,,,,,,1,,Common,Basic,,sui,A1,212,https://ptcgpocket.gg/cards/a1-212-minccino
Cinccino,Pokemon,,Colorless,90,,,"['colorless', 'colorless', 'colorless']",,,,This attack does 30 damage for each of your Benched Pokémon.,,,,1,Fighting,Uncommon,Stage 1,Minccino,0313,A1,213,https://ptcgpocket.gg/cards/a1-213-cinccino
Wooloo,Pokemon,,Colorless,70,Tackle,,"['colorless', 'colorless']",,30.0,,,,,,1,Fighting,Common,Basic,,Yoriyuki Ikegami,A1,214,https://ptcgpocket.gg/cards/a1-214-wooloo
Dubwool,Pokemon,,Colorless,120,Rolling Tackle,,"['colorless', 'colorless', 'colorless']",,80.0,,,,,,2,Fighting,Common,Stage 1,Wooloo,saino misaki,A1,215,https://ptcgpocket.gg/cards/a1-215-dubwool
Helix-fossil,Item,"Play this card as if it were a 40-HP Basic colorless Pokémon.At any time during your turn, you may discard this card from play.This card can't retreat.",,,,,,,,,,,,,,,Uncommon,,,Toyste Beach,A1,216,https://ptcgpocket.gg/cards/a1-216-helix-fossil
Dome-fossil,Item,"Play this card as if it were a 40-HP Basic colorless Pokémon.At any time during your turn, you may discard this card from play.This card can't retreat.",,,,,,,,,,,,,,,Uncommon,,,Toyste Beach,A1,217,https://ptcgpocket.gg/cards/a1-217-dome-fossil
Old-amber,Item,"Play this card as if it were a 40-HP Basic colorless Pokémon.At any time during your turn, you may discard this card from play.This card can't retreat.",,,,,,,,,,,,,,,Uncommon,,,Toyste Beach,A1,218,https://ptcgpocket.gg/cards/a1-218-old-amber
Erika,Supporter,Heal 50 damage from 1 of your grass Pokémon.,,,,,,,,,,,,,,,Uncommon,,,kirisAki,A1,219,https://ptcgpocket.gg/cards/a1-219-erika
Misty,Supporter,"Choose 1 of your water Pokémon, and flip a coin until you get tails. For each heads, take a water Energy from your Energy Zone and attach it to that Pokémon.",,,,,,,,,,,,,,,Uncommon,,,Sanosuke Sakuma,A1,220,https://ptcgpocket.gg/cards/a1-220-misty
Blaine,Supporter,"During this turn, attacks used by your Ninetales, Rapidash, or Magmar do +30 damage to your opponent's Active Pokémon.",,,,,,,,,,,,,,,Uncommon,,,GOSSAN,A1,221,https://ptcgpocket.gg/cards/a1-221-blaine
Koga,Supporter,Put your Muk or Weezing in the Active Spot into your hand.,,,,,,,,,,,,,,,Uncommon,,,Souichirou Gunjima,A1,222,https://ptcgpocket.gg/cards/a1-222-koga
Giovanni,Supporter,"During this turn, attacks used by your Pokémon do +10 damage to your opponent's Active Pokémon.",,,,,,,,,,,,,,,Uncommon,,,Hideki Ishikawa,A1,223,https://ptcgpocket.gg/cards/a1-223-giovanni
Brock,Supporter,Take a fighting Energy from your Energy Zone and attach it to Golem or Onix.,,,,,,,,,,,,,,,Uncommon,,,Taira Akitsu,A1,224,https://ptcgpocket.gg/cards/a1-224-brock
Sabrina,Supporter,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),,,,,,,,,,,,,,,Uncommon,,,Yuu Nishida,A1,225,https://ptcgpocket.gg/cards/a1-225-sabrina
Lt-surge,Supporter,"Move all lightning Energy from your Benched Pokémon to your Raichu, Electrode, or Electabuzz in the Active Spot.",,,,,,,,,,,,,,,Uncommon,,,nagimiso,A1,226,https://ptcgpocket.gg/cards/a1-226-lt-surge
Bulbasaur,Pokemon,,Grass,70,Vine Whip,,"['grass', 'colorless']",,40.0,,,,,,1,Fire,Art Rare,Basic,,Ryota Murayama,A1,227,https://ptcgpocket.gg/cards/a1-227-bulbasaur
Gloom,Pokemon,,Grass,80,Drool,,"['grass', 'colorless']",,40.0,,,,,,2,Fire,Art Rare,Stage 1,Oddish,OKACHEKE,A1,228,https://ptcgpocket.gg/cards/a1-228-gloom
Pinsir,Pokemon,,Grass,90,,,"['grass', 'grass']",,,,Flip 2 coins. This attack does 50 damage for each heads.,,,,2,Fire,Art Rare,Basic,,Scav,A1,229,https://ptcgpocket.gg/cards/a1-229-pinsir
Charmander,Pokemon,,Fire,60,Ember,,['fire'],,30.0,,Discard a fire Energy from this Pokémon.,,,,1,Water,Art Rare,Basic,,GIDORA,A1,230,https://ptcgpocket.gg/cards/a1-230-charmander
Rapidash,Pokemon,,Fire,100,Fire Mane,,['fire'],,40.0,,,,,,1,Water,Art Rare,Stage 1,Ponyta,Taira Akitsu,A1,231,https://ptcgpocket.gg/cards/a1-231-rapidash
Squirtle,Pokemon,,Water,60,Water Gun,,['water'],,20.0,,,,,,1,Lightning,Art Rare,Basic,,Taira Akitsu,A1,232,https://ptcgpocket.gg/cards/a1-232-squirtle
Gyarados,Pokemon,,Water,150,Hyper Beam,,"['water', 'water', 'water', 'water']",,100.0,,Discard a random Energy from your opponent's Active Pokémon.,,,,4,Lightning,Art Rare,Stage 1,Magikarp,Nurikabe,A1,233,https://ptcgpocket.gg/cards/a1-233-gyarados
Lapras,Pokemon,,Water,100,,,['water'],,,,"If this Pokémon has at least 3 extra water Energy attached, this attack does 70 more damage.",,,,2,Lightning,Art Rare,Basic,,Haru Akasaka,A1,234,https://ptcgpocket.gg/cards/a1-234-lapras
Electrode,Pokemon,,Lightning,80,Electro Ball,,"['lightning', 'lightning']",,70.0,,,,,,0,Fighting,Art Rare,Stage 1,Voltorb,DOM,A1,235,https://ptcgpocket.gg/cards/a1-235-electrode
Alakazam,Pokemon,,Psychic,130,,,"['psychic', 'colorless', 'colorless']",,,,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,,,,2,Darkness,Art Rare,Stage 2,Kadabra,AKIRA EGAWA,A1,236,https://ptcgpocket.gg/cards/a1-236-alakazam
Slowpoke,Pokemon,,Psychic,70,Tail Whap,,"['psychic', 'colorless']",,30.0,,,,,,2,Darkness,Art Rare,Basic,,Miki Tanaka,A1,237,https://ptcgpocket.gg/cards/a1-237-slowpoke
Diglett,Pokemon,,Fighting,50,Mud-Slap,,['fighting'],,20.0,,,,,,1,Grass,Art Rare,Basic,,Shinya Komatsu,A1,238,https://ptcgpocket.gg/cards/a1-238-diglett
Cubone,Pokemon,,Fighting,60,,,['colorless'],,,,"During your opponent's next turn, attacks used by the Defending Pokémon do -20 damage.",,,,1,Grass,Art Rare,Basic,,Teeziro,A1,239,https://ptcgpocket.gg/cards/a1-239-cubone
Nidoqueen,Pokemon,,Darkness,140,,,"['darkness', 'darkness', 'colorless']",,,,This attack does 50 more damage for each of your Benched Nidoking.,,,,2,Fighting,Art Rare,Stage 2,Nidorina,aoki,A1,240,https://ptcgpocket.gg/cards/a1-240-nidoqueen
Nidoking,Pokemon,,Darkness,150,Poison Horn,,"['darkness', 'darkness', 'colorless']",,90.0,,Your opponent's Active Pokémon is now Poisoned.,,,,3,Fighting,Art Rare,Stage 2,Nidorino,nagimiso,A1,241,https://ptcgpocket.gg/cards/a1-241-nidoking
Golbat,Pokemon,,Darkness,70,Wing Attack,,['colorless'],,40.0,,,,,,1,Fighting,Art Rare,Stage 1,Zubat,Tomokazu Komiya,A1,242,https://ptcgpocket.gg/cards/a1-242-golbat
